URL,Response,Type
https://www.nrcan.gc.ca,200.0,Internal
//www.nrcan.gc.ca/terms-conditions/10847,200.0,Internal
https://www.nrcan.gc.ca/media-room/RSS-feeds/1907,200.0,Internal
http://www.nrcan.gc.ca/xml/geogratis.xml,200.0,Internal
http://www.nrcan.gc.ca/rss/news.xml,200.0,Internal
https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/www/files/rss/consultations-eng.xml,200.0,Internal
http://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/www/files/rss/consultations-eng.xml,200.0,Internal
https://www.nrcan.gc.ca/energy/rss-fuel-focus.xml,200.0,Internal
http://www.nrcan.gc.ca/energy/rss-fuel-focus.xml,200.0,Internal
http://www.nrcan.gc.ca/photo-gallery.xml,200.0,Internal
https://www.nrcan.gc.ca/simply-science/rss.xml,200.0,Internal
https://www.nrcan.gc.ca/nrcan/stay-connected/10841,200.0,Internal
https://www.nrcan.gc.ca/whats-new/12511,200.0,Internal
https://www.nrcan.gc.ca/energy-efficiency/energy-star-canada/energy-star-products/energy-star-newsletter/12556,200.0,Internal
https://www.nrcan.gc.ca/energy/energy-resources/10729,200.0,Internal
https://www.nrcan.gc.ca/energy-efficiency/energuide/12523,200.0,Internal
https://www.nrcan.gc.ca/energy-efficiency/energuide-canada/energuide-rating-system-version-15/18392,200.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/energuide-canada/manufacturersimporters-energuide/13728,200.0,Internal
mailto:NRCan.es_se_oee-ee_report-rapport_ee.RNCan@canada.ca?subject=Request%20a%20copy,,Internal
https://www.nrcan.gc.ca/energy/efficiency/energuide-canada/energuide-label/13609,200.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/energuide-canada/energuide-label/reading-label-energuide/13625,200.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/energuide-canada/energuide-label/reading-label-energuide/appliances-energuide/13632,200.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/energuide-canada/energuide-label/behind-label-energuide/13618,200.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/energuide-canada/energuide-label/reading-label-energuide/storage-tank-water-heaters-energuide/13722,200.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/energuide-canada/energuide-label/reading-label-energuide/gas-fireplaces-energuide/13718,200.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/energuide-canada/energuide-label/reading-label-energuide/air-source-and-ductless-heat-pumps-energuide/13694,200.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/energuide-canada/energuide-label/reading-label-energuide/furnaces-energuide/13666,200.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/energuide-canada/energuide-label/reading-label-energuide/central-air-conditioners-energuide/13652,200.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/energuide-canada/energuide-label/reading-label-energuide/room-air-conditioners-energuide/13640,200.0,Internal
https://www.nrcan.gc.ca/energy/products/categories/appliances/fridge/13999,200.0,Internal
https://www.nrcan.gc.ca/energy/products/categories/commercial/15150,200.0,Internal
https://www.nrcan.gc.ca/energy/products/categories/electronics/industrial-battery-charger/14049,200.0,Internal
https://www.nrcan.gc.ca/energy/products/categories/electronics/industrial-battery-charger/14243,200.0,Internal
https://www.nrcan.gc.ca/node/5153,404.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/industry,200.0,Internal
https://www.nrcan.gc.ca/energy-efficiency/energy-efficiency-industry/energy-management-industry/20397,200.0,Internal
https://www.nrcan.gc.ca/energy/efficiency/energy-efficiency-industry/energy-management-industry/employee-awareness-energy-efficiency/20411,200.0,Internal
https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/oee/jpg/industrial/images/team-up-sticker-e-highres-2009.jpg,200.0,Internal
https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/oee/jpg/industrial/images/team-up-sticker-e-lowres-2009.jpg,200.0,Internal
https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/oee/pdf/industrial/images/pdf-images/sticker-e-2009.pdf,200.0,Internal
https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/oee/ppt/industrial/training-awareness/employees/eap-documents/waste-heat-e-2009.ppt,200.0,Internal
https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/oee/ppt/industrial/training-awareness/employees/eap-documents/steam-condensate-e-2009.ppt,200.0,Internal
https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/oee/ppt/industrial/training-awareness/employees/eap-documents/lighting-e-2009.ppt,200.0,Internal
https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/oee/ppt/industrial/training-awareness/employees/eap-documents/heating-cooling-e-2009.ppt,200.0,Internal
https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/oee/ppt/industrial/training-awareness/employees/eap-documents/fans-pumps-e-2009.ppt,200.0,Internal
https://www.nrcan.gc.ca/sites/www.nrcan.gc.ca/files/oee/ppt/industrial/training-awareness/employees/eap-documents/compressed-air-e-2009.ppt,200.0,Internal
https://www.nrcan.gc.ca/energy/publications/efficiency/industrial/cipec/6011,200.0,Internal
https://www.nrcan.gc.ca/maps-tools-and-publications/imagery/10782,200.0,Internal
https://www.nrcan.gc.ca/maps-tools-and-publications/satellite-imagery-and-air-photos/tutorial-fundamentals-remote-sensing/9309,200.0,Internal
https://www.nrcan.gc.ca/energy/transportation/alternative-fuels/resources/3489,200.0,Internal
